Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code,Description
MFDB,MUTUAL FEDERAL BNCRP IL,Pink Current,3.0,,0,Common Stock,USA,Illinois,"11,455,795",6035 - Federal savings institutions,Holding Company of a Federally chartered bank.
UNTN,UNITED TENNESSEE BNKSHS,OTCQB,20.5,,0,Common Stock,USA,Tennessee,"15,400,502",6035 - Federal savings institutions,"We have served Cocke County and the surrounding area since 1934 and have assisted generations of families in home ownership, providing loans, deposit accounts and other financial needs. 
Wondering what sets us apart from other financial institutions It's our employees.

We are proud of our family atmosphere and want you to be a part of our family and feel right at home. 
Our common sense approach to banking has helped us stay fiscally strong, standing the tests of time and economic downturns. As a result, we've continued to grow with our community. We take pride in the fact that so many customers have turned to us for their financial needs."
YBCN,YONG BAI CHAO NEW RETAIL,Pink Current,0.029,26.087,12000,Common Stock,USA,New York,"4,538,882",3714 - Motor vehicle parts and accessories,Not available
IICN,CHINA INTELLIGENCE INFO,Pink Current,0.027025,-39.5414,1000,Common Stock,Czech Republic,,"33,210,770",5093 - Scrap and waste materials,"Liglass Trading is a Czech Trading and Investment company founded in 2003 and is a known renewable player, constructing, owning and operating ground photvoltaic plants (""PV plants"") and hydro plants throughout Europe."
SGTB,SUGGESTION BOX INC,Pink Current,0.015,0.0,30000,Common Stock,USA,Illinois,"1,928,625","4899 - Communication services, misc","ZapVir Inc is a company that manufactures and sells Over The Counter antiseptic consumer health products focused on Nasal/Sinus Care, Throat Care, Skin Care and Personal Environments with a focus on Homeopathic remedies."
SVIN,SCHEID VINEYARDS INC A,Pink Current,21.4,,0,Common Stock,USA,California,"14,616,633","2084 - Wines, brandy, and brandy spirits","Scheid Family Wines is a family-owned and operated wine company founded in 1972. Based in Monterey County, California, Scheid is uniquely integrated to bring high-quality wines to the marketplace from its sustainably certified vineyards and innovative luxury-level winery. Scheid's winery and bottling operations are powered by 100% renewable wind energy generated by a 400-foot tall wind turbine, which also supplies energy to many homes in the local community. The Scheid Family Wines globally distributed portfolio includes its namesake brand Scheid Vineyards, Sunny with a Chance of Flowers, District 7, Ryder Estate, Metz Road, VDR (Very Dark Red), Stokes' Ghost, and HOXIE, an artisanal dry wine spritzer. Scheid Family Wines also produces many regionally distributed brands and distributes a portfolio of imported wines through its partnership with PH Imports."
ADCV,AD CAPITAL US INC,Pink Current,0.798,,0,Common Stock,USA,Texas,"280,029,133",7372 - Prepackaged software,"AD Capital US, Inc is an Asset Management Company. Building on more than 50 years of experience combined with their leadership, with a reputation for excellence in Spain, France, and the EU. Recognized as a veritable source for integrated multilayer asset solutions, stability and innovation across a full spectrum of industries. Our approach and value resides in acquire tangible and intangible assets (such as debt portfolios, intellectual property portfolios, goodwill and complex financial assets)."
NNRI,NNRF INC,Pink Current,0.005,,0,Common Stock,USA,Nevada,"1,570,147",5052 - Coal and other minerals and ores,"NNRF, Inc. is a project development and asset management company focused on environmental, agricultural and nutraceutical fields. Our focus is North America with a current priority in US and Canada."
GVYB,GOLDEN VY BANCSHARES INC,Pink Current,16.8,,0,Common Stock,USA,California,"38,091,696","6029 - Commercial banks, misc","Golden Valley Bancshares, Inc. is the parent company of its wholly-owned subsidiary, Golden Valley Bank. Golden Valley Bank has been providing financial services to Chico, Ca and its surrounding communities since 2006. In 2008, a loan production office was opened in Redding, Ca and was transformed into a full service office in October 2018."
XCPT,XCANA PETROLEUM CORP,Pink Current,0.1489,,0,Common Stock,USA,Illinois,"12,506,480",Not Available,We are currently seeking new business opportunities in various industries.
WWII,WORLD OF WIRELESS INTL,Pink Current,0.05375,7.5,19700,Common Stock,USA,California,"3,706,488","4899 - Communication services, misc","World Of Wireless International Telecom, Inc. (OTC:WWII) is in the wireless communications industry. The Company offers Prepaid Unlimited WiFi Soft Phone Services for voice, text, data and streaming with or without dedicated connection to a ""Hot Spot"" or WiFi Network. The Company has developed and released an app for iOS and Android specifically branded for broad global market appeal. The network is fully operational and the proprietary app has been released. The Company offers white-label services for third-party networks to build their own apps and operate through the Company's network. The Company is classified as a facilities-based service provider offering services to enable global connectivity using proprietary software, methodologies and security solutions. WWII has been building the infrastructure, the team, and the resources to provide superior quality international phone service at a fraction of the usual cost using the same network and protocol as the telecommunication giants. Additionally, the Company offers lower cost global international termination services at a wholesale rate for international carriers."
ABTO,AB&T FINCL CORP (NC),Pink Current,0.6,,0,Common Stock,USA,North Carolina,"18,859,835",6021 - National commercial banks,"AB&T Financial Corporation is the parent company of Alliance Bank & Trust Company, which operates 4 community-oriented branches in Gaston and Cleveland Counties in North Carolina that offer a full array of banking services."
WOWI,METRO ONE TELECOMMUNS INC,Pink Current,0.08645,,0,Common Stock,Israel,,"18,054,449","4899 - Communication services, misc","Metro One Telecommunications, Inc. is revolutionizing the way retailers integrate mobile commerce solutions within their business. Our multi-model plug and play mobile commerce platform enables retailers from any market segment to create a mobile-first shopping experience both in-store and online, leveraging existing customer data, to offer personalized mobile shopping experiences - no code required. Through its recently incorporated Israeli tech company, Stratford Ltd. DBA Shelfy, the company will continue to merge the functionality of mobile technology, AI, and Machine learning enabling retailers to quickly and easily bring their business online to significantly increase customer retention, average basket size, and customer lifetime value. The company is in the process of transforming its existing suite of products to a fully modular and scalable SaaS based platform. Specific features can either be added to a retailers existing mobile application or a complete mobile solution can be developed on Shelfys mobile commerce suite, where the retailer can keep adding features as the business grows and as their business needs develop. The Company has recently launched it's upgraded app on both WooCommerce and Shopify."
HPST,HEMPSTRACT INC,Pink Current,0.01535,,0,Common Stock,USA,Washington,"1,126,756",1382 - Oil and gas exploration services,"Hempstract Inc. is located in Warden, Washington. Hempstract offers business partners premium CBD Solutions they can trust at competitive prices. Hempstract and its laboratories go to great lengths to ensure that all of its solutions are of the highest quality and control standards and provides pure, high-quality, and safe, CBD isolate and oil to its customers. Hempstract remains an acquisition company, designing programs to diversify and acquire interests companies with activities that possess a high success and economic potential for its partners and shareholders. Hempstract utilizes its in-house professionals to analyze, evaluate, and pursue industry level projects, along with outsourced industry professionals. With its relationships with industry leaders, Hempstract works closely to participate side-by-side, in providing the quality programs generally reserved for the industry."
PRLE,PILLARSTONE CAPITAL REIT,Pink Current,1.31,,0,Common Stock,USA,Texas,"851,960",6798 - Real estate investment trusts,Small Reporting Company
ARBV,AMERICAN RIVIERA BANCORP,OTCQX U.S. Premier,17.3,,0,Common Stock,USA,California,"87,947,341",6022 - State commercial banks,"American Riviera Bank is a full-service community bank focused on serving the lending and deposit needs of businesses and consumers on the Central Coast of California. The state-chartered bank opened for business on July 18, 2006, with the support of local shareholders. Full-service branches are located in Santa Barbara, Montecito, Goleta, San Luis Obispo and Paso Robles. The Bank provides commercial, residential mortgage, construction and Small Business Administration lending services as well as convenient online and mobile technology. For eleven consecutive years the Bank has been recognized for strong financial performance by the Findley Reports, and has received the highest, Super Premier, rating from Findley every year since 2016. The Bank was rated, Outstanding, by the Federal Deposit Insurance Corporation in 2020 for its performance under the Community Reinvestment Act."
SKRJ,SILK ROAD ENTMT INC,Pink Current,0.101,,0,Common Stock,USA,Nevada,"3,746,255",Not Available,"The Company is developing a software program that will have the capacity to integrate a customer data base and create a targeted marketing listing of potential clients. The Company will utilize its own unique products and services with its specialized advertising plans directed to the consumer market for both Public and Private Companies. The Company entered the development stage of activity on January 1, 2001. Prior to that time, the Company had revenue generating operations in the sale and marketing of technology-based and location-based entertainment program themes for the restaurant industry."
DFCO,DALRADA FINCL CORP,OTCQB,0.115,-4.1667,256329,Common Stock,USA,California,"7,317,633",7363 - Help supply services,"Moving the world forward takes bold resolve that turns ideas into actions and builds real-time solutions that positively impact people and the planet. Dalrada accelerates positive change for current and future generations by harnessing true potential and developing products and services that become transformative innovations. Dalrada Financial Corporation, (""Dalrada""), was incorporated in September 1982 under the laws of the State of California. It was reincorporated in May 1983 under the laws of the State of Delaware and reincorporated again on May 5, 2020, under the laws of the state of Wyoming. Dalrada Financial Corporation trades under the symbol, OTCQB: DFCO. Since Dalrada's inception, the Company has grown its footprint to include the unique business divisions: Dalrada Health, Dalrada Energy Solutions, Dalrada Precision Manufacturing, and Dalrada Technologies. Within each of these divisions, the Company drives innovation while creating solutions that are sustainable, accessible, and affordable. Dalrada's global solutions directly address climate change, gaps in the health care industry, and technology needs that facilitate a new era of human behavior and interaction and ensure a bright future for the world around us."
BTTC,BITECH TECHNOLOGIES CORP,OTCQB,0.15,0.0,700,Common Stock,USA,California,"65,732,264",8060 - Services-Hospitals,"Bitech Technologies Corporation (""Bitech"") [OTCQB: BTTC] is a global technology solution provider dedicated to providing a suite of green energy solutions. Aiming to resolve the exorbitant high cost of electricity in certain applications, Bitech offers Evirontek Integrated Platform including its core technology Tesdison, a revolutionary U.S. patented self-charging dual-battery system technology providing high efficiency in power generation. Bitech seeks business partnerships with renewable energy providers for a variety of applications including residential, data centers, EV, solar power plants, and cryptocurrency miners in bitcoin, ethereum. We also engage with value-added resellers to facilitate and implement our scalable and modular system solution while pursuing revenue-sharing and technology licensing model to achieve carbon credits via disruptive technology implementation at any scale."
MILC,MILLENNIUM SUSTAINALE VTR,Pink Current,0.86,,0,Common Stock,USA,New York,"7,039,881",6770 - Blank Checks,Carbon manufacturer
GSPE,GULFSLOPE ENERGY INC,Pink Current,0.00515,22.619,4300,Common Stock,USA,Texas,"6,658,262",1311 - Crude petroleum and natural gas,"GulfSlope Energy (ticker GSPE) is an independent oil and natural gas exploration company based in Houston, Texas. The Company's operations are concentrated in the United States, Gulf of Mexico federal waters offshore Louisiana in less than 450 feet of water depth. The Company has leased three federal OCS blocks and licensed 2.2 million acres of three-dimensional (3-D) seismic data."
FCCT,FIRST COMMUNITY CORP (TN),Pink Current,9.0,,0,Common Stock,USA,Tennessee,"14,857,308","6029 - Commercial banks, misc","First Community Corporation is the holding company for First Community Bank of East Tennessee. The bank was founded in 1993 in Rogersville, TN. The bank is a locally owned and managed financial institution serving a broad market that encompasses an area up to 325 miles from its headquarters location in Rogersville. The bank was founded on the premise that individuals and small and medium size businesses were under served by large traditional banks. The Bank operates brick and mortar branches in Hawkins and Sullivan Counties in Northeast Tennessee but offers a full range of digital banking services. At First Community Bank we believe our relationships with our customers are at the heart of everything we do. We are committed to a relationship and customer service that is unparalleled. As a customer, you can be sure that the employees of First Community Bank work diligently to earn and keep your business and to instill your confidence in us. We offer a complete range of financial products and services for both deposits and loans. Our philosophy of local bank decision-making and personalized service is the driving force of our business."
HHSE,HANNOVER HOUSE INC,Pink Current,0.0097,-14.1593,103312,Common Stock,USA,Arkansas,"7,802,421",2731 - Book publishing,"Hannover House is one of only twelve ""full-service"" entertainment studios in the USA market (controlling all aspects of product flow from conception, through production and finally into direct distribution through applicable media outlets: theatrical, home video, video-on-demand, television and international). The company was established in 1993 and has grown steadily into one a recognized and respected brand name for quality, independent feature film and television programming. In response to the evolving media landscape for entertainment, Hannover House (through the special purpose VODWIZ division), is embarking on an ambitious launch of a multi-studio streaming site, APP and OTT Portal under the brand name of MyFlix.com. The MyFlix venture will include programming from multiple supplier studios and will operate as a ""one-stop superstore"" for digital entertainment."
TRUX,TRUXTON CORP,Pink Current,64.525,0.428,715,Common Stock,USA,Tennessee,"184,868,288",6712 - Bank holding companies,"Truxton Corporation is the parent of Truxton Trust, a private bank and wealth management firm."
BNCM,BOUNCE MOBILE SYS INC,Pink Current,0.04445,11.125,13600,Common Stock,Philippines,,"19,602,788","6799 - Investors, misc","BNCM (Bounce Mobile Systems, Inc.) is an asset management and consultancy company. BNCM manages the assets or shares of companies it currently owns. BNCM currently owns assets and or shares in various companies involved in asset management, education, franchise, healthcare and technologies. These companies are located and registered in Asia, Australia, New Zealand and in the USA. BNCM also provides consultancy services to companies seeking to quote or list on the OTC or NASDAQ markets, in partnership with experienced and qualified auditors, accountants, attorneys, brokers, market makers, etc. The growth of these companies will directly provide more employment opportunities to the communities, improve the economy of the country, and bring greater social change to humanity."
AXTG,AXIS TECHS GROUP INC,Pink Current,0.009,0.0,300500,Common Stock,USA,California,"1,184,392","3679 - Electronic components, misc","Axis Technology Group, Inc. (AXTG) is a holding company the promotes decentralized finance business and business focus to make these innovations come true. AXTG supports and develops companies development of blockchain and DeFi projects. AXTG will take this opportunity to make strategic investments and acquire companies who have unseen potential to scale and add value."
MTRI,METRO INC,Pink Current,0.0299,7.9422,8282,Common Stock,China,,"12,373,437","7379 - Computer related services, misc",Information Security Solutions - Consulting Services and Education Products
CNHC,CHINA HEALTH MGMT CORP,Pink Current,0.0133,,0,Common Stock,USA,Texas,"852,032",Not Available,China Health Management Inc is a publicly-traded Nevada corporation under the symbol CNHC.
CPMD,CANNAPHARMARX INC,Pink Current,0.00909,-9.1,215000,Common Stock,Canada,Alberta,"2,791,400",2834 - Pharmaceutical preparations,"CannaPharmaRx, Inc. is an early-stage pharmaceutical company whose purpose is to advance cannabinoid research and discovery using proprietary formulation and drug delivery technology currently in development. Cannabinoids are a class of chemicals that, once ingested, are active in humans and animals through the ""endocannabinoid system"" -- one of the most widely expressed system of receptors in the human body. CannaPharmaRx is currently focused on targeting disease states where its delivery systems can have optimal impact with therapeutic differentiation among alternative cannabinoid therapies, including: neurological disorders, oncology, infectious disease, pain management, inflammatory disease, gastrointestinal disorders and ophthalmology."
HQDA,HQDA ELDERLY LIFE NTWK,Pink Current,0.1301,,0,Common Stock,USA,California,"18,155,359",8300 - Services-Social Services,"HQDA Elderly Life Network Corp. develops and markets retirement services and products primarily in China. It has an integrated network platform with proprietary technologies to serve its clientele both in China and USA. The company was founded in 2004 and is based in Rosemead, California, USA."
FCNE,FOUR CORNERS INC,Pink Current,2.0,,0,Common Stock,USA,Texas,"24,386,248",7990 - Services-Miscellaneous Amusement & Recreation,"Four Corners, Inc. through its subsidiary K+B Sales, Inc. provides products and technology solutions to the Texas charitable bingo market. The Company is a distributor of bingo supplies such as bingo paper, ink daubers, pull-tabs and electronic bingo card minding systems."
SFWJ,SOFTWARE EFF SLTNS CORP,Pink Current,0.018,,0,Common Stock,USA,Texas,"18,749,865","5172 - Petroleum products, misc","Software Effective Solutions d.b.a MedCana Inc. is a holding company focused on acquiring and developing companies in the cannabis and CBD oil sectors. Our goal is to create global leaders in producing, processing, and distributing cannabis and CBD products."
PBSV,PHARM-BIO SERV INC,OTCQB,0.8001,,50,Common Stock,USA,Puerto Rico,"20,025,681",8742 - Management consulting services,"We are a compliance and technology transfer services consulting firm with headquarters in Puerto Rico, servicing the Puerto Rico, United States, Europe and Brazil markets. The compliance consulting service sector in those markets consists of local compliance and validation consulting firms, United States dedicated validation and compliance consulting firms, and large publicly traded and private domestic and foreign engineering and consulting firms. We provide a broad range of compliance related consulting services. We market our services to pharmaceutical, chemical, biotechnology, medical devices, cosmetic and food industries, and allied products companies in Puerto Rico, the United States, Europe and Brazil. Our consulting team includes experienced engineering and life science professionals, former quality assurance managers and directors, and professionals with bachelors, masters and doctorate degrees in health sciences and engineering."
TCNB,TOWN CENTER BANK (IL),OTCQX U.S.,3.18,,0,Common Stock,USA,Illinois,"6,884,297",6021 - National commercial banks,"Town Center Bank is a local community bank with branches located in Frankfort and New Lenox, IL. The bank is a full-service commercial bank offering a complete line of loan and deposit products."
REOS,REOSTAR ENERGY CORP,Pink Current,0.03475,-8.3113,73500,Common Stock,USA,California,"1,958,040",1382 - Oil and gas exploration services,"Oil and Gas Exploration, aggregation of existing Oil and Gas productions, research into alternative clean energy resources"
NLST,NETLIST INC,OTCQB,2.65,0.0,84538,Common Stock,USA,California,"522,208,233",3674 - Semiconductors and related devices,"Netlist provides high-performance solid state drives and modular memory solutions to enterprise customers in diverse industries. The Company's NVMe SSDs in various capacities and form factors and the line of custom and specialty memory products bring industry-leading performance to server and storage appliance customers and cloud service providers. Netlist licenses its portfolio of intellectual property including patents, in server memory, hybrid memory and storage class memory, to companies that implement Netlist's technology. To learn more, visit www.netlist.com."
NWPN,NOW CORP,Pink Current,0.0005,0.0,1850000,Common Stock,USA,Florida,"1,067,938",8611 - Business associations,"The NOW Corporation is a publicly traded, bio-pharmaceutical research company focused on the research, education and production of Scientific-Grade Cannabidiol (CBD) from hemp and Tetrahydrocannabinol (THC) to be used for medicinal purpose, while focusing on pursuing business opportunities in the growing medical and recreational marijuana sector. This includes, but is not limited to, food, paper, and textiles derived from Hemp. The Now Corporation utilizes its assets and equity holdings/stakes of other companies which engages in medical and recreational marijuana, technology development, oil fabrication, exploration and extraction, and education. We provide Credible Scientific Research Data to the heavily regulated medical and recreational marijuana industries - currently one of the fastest growing industries in North America. At The Now Corporation, we unlock and advance medicine for human life around the world, at every stage of life."
SBKO,SUMMIT BANK GROUP INC,Pink Current,14.14,-0.0707,500,Common Stock,USA,Oregon,"103,126,400",6022 - State commercial banks,"Summit Bank began serving the needs of local businesses and clients in 2004 as the first independent community bank to open in the Eugene/Springfield area in over 25 years. The genesis of the Bank followed after multiple mergers left local business owners and professionals lacking the personalized service and professionalism long associated with locally founded and focused banking institutions. The Board of Directors is comprised of highly successful community members and it is their commitment together with the drive and passion of the Bank team that puts the institution at the summit of local banking services. Summit's mission is to serve the banking and financial needs of local businesses, non-profits, professionals and individuals with a level of highly personalized, innovative, responsive and technologically advanced customer service. The Bank's core model centers around a team of responsive, dedicated, passionate and committed financial professionals enabling clients to reach their personal and professional goals. The Bank offers a full line of deposit and lending products through Business Client Advisors that are experienced in commercial real estate, commercial and industrial, consumer loans and other financial products. The Bank has offices in Eugene, Bend, and Portland Oregon."
BLMS,BLOOMIOS INC,OTCQB,2.47,,0,Common Stock,USA,California,"34,465,688",2833 - Medicinal and botanicals,"Bloomios, Inc. manufactures, markets and distributes U.S. hemp-derived supplements and cosmetic products through wholesale distribution channels and its wholly owned subsidiary, Bloomios Private Label. The company provides custom formulation, brand development, manufacturing and order fulfillment to a wide variety of customers, including small and major brands, chain stores, vape shops and distributors. It offers private-label and white-label customers a wide selection of more than 80 customizable hemp products across 7 categories. Bloomios is headquartered in Santa Barbara, California, with manufacturing and distribution in Daytona Beach, Florida."
AFFU,AFFLUENCE CORP,Pink Current,0.0337,-10.1333,162110,Common Stock,USA,Colorado,"10,905,960","4813 - Telephone communication, except radio","Affluence Corporation is a diversified technology company focused on innovative software solutions that capitalize on IoT, AI and 5G technologies. We are investing in mid-market businesses to create a cohesive unit which brings together technology for the next generation of internet. https://affucorp.com"
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.1658,-2.9842,1063083,Common Stock,USA,Texas,"66,735,665",1382 - Oil and gas exploration services,Oil & gas exploration company.
PBNK,PINNACLE BANK (CA),OTCQB,12.1999,-0.409,300,Common Stock,USA,California,"64,738,175",6022 - State commercial banks,"Pinnacle Bank is a full-service business bank dedicated to providing quality depository and credit services in Santa Clara, San Benito and Moneterey counties with a focus on commercial banking services for businesses and nonprofit organizations, offering products and services that combine the best of personal touch with convenient technology-based delivery."
FHLB,FRIENDLY HILLS BANCORP,Pink Current,8.19,0.8869,7501,Common Stock,USA,California,"24,693,544","6029 - Commercial banks, misc","Friendly Hills Bank is a business bank, providing banking services in the greater Los Angeles and Orange counties. The Bank targets small and medium sized businesses with revenues of $500,000 to about $30 million, and credit needs of $50,000 to $2,400,000 for commercial loans and up to $4,000,000 in commercial real estate. These types of businesses are usually privately held, with the business owner seeking a banking relationship with experienced bankers who take the initiative to understand their business, and utilize the information to structure credit facilities that will benefit them."
WPUR,WATERPURE INTL INC,Pink Current,0.00395,1.2821,24500,Common Stock,USA,Texas,"1,375,917","3589 - Service industry machinery, misc","WaterPure International, Inc. is a development stage company that owns various assets with proprietary properties applicable to the delivery of clean water. The company is currently exploring opportunities to build operations around the clean water assets. At the same time, the company is exploring a wide range of new business opportunities not related to its clean water assets."
UEEC,UNITED HEALTH PRODUTS INC,Pink Current,0.3499,-0.0286,60302,Common Stock,USA,Nevada,"56,198,094",3842 - Surgical appliances and supplies,"United Health Products Inc. (UEEC) develops, manufactures, and markets patented hemostatic gauze, for the dental, healthcare, veterinary and wound care sectors. The product, HemoStyp(R), is derived from regenerated oxidized cellulose, which is all natural, designed to absorb exudate/drainage from superficial wounds and helps control bleeding."
USMT,US METRO BANCORP,OTCQX U.S.,4.65,-1.2739,1800,Common Stock,USA,California,"76,074,000",Not Available,"US Metro Bank (""USMB"") commenced its operations on September 15, 2006 as a state-chartered bank engaged in commercial and consumer banking business. The Bank operates with five branches in Southern California and loan production offices in Dallas, Seattle, New York and Atlanta.

The Bank focuses on delivering personalized banking service to small to medium-sized businesses. Our wide range of deposit accounts includes personal and business checking accounts, money market accounts, savings, and time certificates of deposit. We also offer a full complement of loan products in the commercial, real estate, SBA, and consumer areas."
JAMN,JAMMIN JAVA CORP,Pink Current,0.0001,100.0,9479849,Common Stock,USA,New York,"1,273,927","6719 - Holding companies, misc",Jammin Java Corp is a holding company in the process of becoming a real estate development and acquisition company.
GXXY,GALEXXY HLDGS INC,Pink Current,0.122,-6.1538,5000,Common Stock,USA,California,"40,768,360",100 - Agricultural Production-Crops,"Galexxy Holdings Inc., (The Company or GXXY) recently completed a reorganization of its capital structure and business strategy. In 2021 Company entered the high growth CBD consumer products market. The Company's principal executive leased offices consist of 629 square feet located at 4630 Campus Drive, Suite 104, Newport Beach, CA 92660. The secondary leased facility consists of a warehouse, operations, and manufacturing facility encompassing 4,095 square feet, located at 41655 Reagan way, Suites A-B, Murrieta, CA 92562. The Company acquired Wellbeing Farms LLC., (WBF) as a 100% owned subsidiary, located at the Murrieta facility. WBF is a Functional Mushroom and Phytocannabinoid health supplements production and sales company. WBF has a unique patent pending Smart Vending Kiosk system enabling customers to purchase and pick up Government regulated products via electronic means or directly at the Kiosk by means of a legally certified age and identity verification system. WBF has an exclusive joint venture with a major international manufacturer to supply Kiosks worldwide. The Company acquired a 69% majority controlling interest in ABC Wholesale LLC., based in Gainesville, Georgia where it produces and is successfully marketing its proprietary AVALOO™ range of quality CBD consumer products. This acquisition will enable The Company to access new markets in Eastern states and provide white labelling and cross marketing opportunities between ABC's and WBF's in respective markets."
TRVR,TWO RIVERS FINCL GRP INC,OTCQX U.S. Premier,43.5,,0,Common Stock,USA,Iowa,"90,009,157",6199 - Finance Services,"A financial holding company headquartered in Burlington, Iowa. Two Rivers Bank & Trust, and Lee County Bank are wholly owned subsidiaries of Two Rivers Financial Group, Inc., offering an extensive menu of financial solutions encompassing banking, trust, and investment services. Branches are located in Ankeny, Bettendorf (loan production office), Burlington, Coralville, Des Moines, Fort Madison, Iowa City, Keokuk, Mediapolis, Mount Pleasant, West Burlington, West Des Moines and West Point.."
HENC,HERO TECHNOLOGIES INC,OTCQB,0.055,0.0,1000,Common Stock,USA,Delaware,"22,531,150",2833 - Medicinal and botanicals,"Hero Technologies Inc. is a cannabis company, with a vertically integrated business model. The company has a majority stake in BlackBox Systems and Technologies LLC. BlackBox is an aeroponic cannabis cultivation system that provides optimal conditions to enhance photosynthesis and cultivation of large flowering plants, creating increased efficiencies. The BlackBox project consists of environmental growth chambers for the cultivation of large flowering plants based on aeroponic technology."
VTXB,VORTEX BRANDS CO,Pink Current,0.0028,7.6923,422783,Common Stock,USA,California,"740,025",3600 - Electronic & Other Electrical Equipment (No Computer Equip),"Vortex Brands Co. is actively mining Bitcoin by purchasing and maintaining ASIC (application-specific integrated circuit) computers specifically designed for Bitcoin mining and actively scaling up mining operations to direct revenues toward improving the electric grid. Vortex will provide as a service multipurpose Phase Angle Synchronization (PAS) equipment to electric utilities nationwide. PAS is a one-of-a-kind technology designed to solve problems caused by the inefficient power consumption of electric motors. PAS protects the grid from excessive wear and damage, increases reliability by reducing line congestion and increasing reserve margin, at a true cost savings for the utility."
IPIX,INNOVATION PHARMACEUTICAL,Pink Current,0.038805,19.7685,35249,Common Stock,USA,Massachusetts,"14,646,770",2834 - Pharmaceutical preparations,"An early stage developmental biopharmaceutical company...with six pharmaceutical compound candidates that are designed for treatment of diseases which may be either existing or diseases identified in the future. The Company will initially spend most of its efforts and resources on its anti-cancer compound, Kevetrin, for the treatment of head and neck cancers."
GEVI,GENERAL ENVIR MGMT INC,Pink Current,0.21,0.0,300,Common Stock,USA,Wyoming,"19,728,531",4955 - Hazardous Waste Management,Not available
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,20.5,0.0,664,Common Stock,USA,Michigan,"133,626,004",5812 - Eating places,"Meritage Hospitality Group is one of the nations premier franchise operators, with 345 restaurants located across 16 states in the U.S. The Company's has developed a uniqe operating platform that supports restaurant operations in the QSR and Fast-Casual restaurant segments. The Company is one of the largest Wendy's restaurant operators in the world, and owns several proprietary restaurant brands including Morning Belle and Stan's Tacos. The Company recently entered into a development agreement to build up to 200 Taco John's restaurants in the midwestern U.S. The Taco John's development agreement calls for restaurant openings to commence in 2022. Meritage in-house competencies include restaurant accounting, I.T., financing, planning and permitting of land, building and equipment for restaurant construction and renovation. Meritage is headquartered in Grand Rapids, Michigan, operating with approximately 11,000 employees."
ALDA,ATLANTICA INC,Pink Current,2.15,,0,Common Stock,USA,Florida,"4,671,321",6770 - Blank Checks,Not available
WESC,W&E SOURCE CORP,Pink Current,0.005,,0,Common Stock,USA,Delaware,"1,300,855",4700 - Transportation Services,Not available
TNPH,TIAN'AN PHARM CO LTD,Pink Current,0.037,,0,Common Stock,USA,Nevada,"3,023,825","7389 - Business services, misc","TNPH is an investment & advisory group, investing in the fintech, e-commerce, health, wellness, lifestyle and education space."
CRSB,CORNERSTONE COMUTY BANCRP,Pink Current,26.85,-0.5556,210,Common Stock,USA,California,"40,390,093","6029 - Commercial banks, misc","Cornerstone Community Bancorp, a bank holding company headquartered in Red Bluff, California, serves the Red Bluff, Redding and Anderson communities through its wholly-owned subsidiary, Cornerstone Community Bank with a headquarters office in Red Bluff, two banking offices in Redding and one in Anderson. The Bank provides commercial banking services to small and mid-size businesses, including professional service firms, real estate developers and investors and not-for-profit organizations and to their owners and other individuals."
YBGJ,YUBO INTL BIOTECH LTD A,Pink Current,0.0716,-18.9357,5817,Common Stock,China,,"16,726,361",3845 - Electromedical equipment,Not available
AQPW,GOLDEN ALLY LIFETECH GRP,Pink Current,0.201,,0,Common Stock,USA,Texas,"1,699,212,380",3590 - Misc Industrial & Commercial Machinery & Equipment,"The Golden Ally Lifetech (""GALTG"") AQP Active Water project is a derivative of an academic inspiration from the 2003 Nobel Laureates in Chemistry, Peter Agre, for the discovery and pioneering research of water channels, also called aquaporins (""AQP""), in cell membranes. The AQP active water technology roots from Japan, where the founder Prof. Kitagawa uncovered that water treated by an exclusive proprietary material offered enhanced biological effects. He proposed that the structure of water cluster altered by this proprietary water technology fundamentally distinguishes the AQP water with other functional waters. His exclusive partnership with a U.S.-based engineering team aims to mass-produce proprietary AQP water, firstly offering the distinctive water products in the U.S. GALT's mission is to advance human health through our proprietary water technology. Cells are the basic structural and functional units of life, consisting of a cytoplasm enclosed with a cell membrane. Cell membrane provides a protective barrier around the cell while regulates which materials or molecule can pass in or not. Like ionic channels, such as calcium ion (Ca2+) channel, potassium ion (K+) channel, sodium ion (Na+) channel, and proton (H+) channel, that regulate the transport of ions across the cell membrane, the transport of water across the cell membrane is mediated through water channels, also called aquaporins, and driven by the osmosis pressure across the cell membrane."
PFBN,PACIFIC ALLIANCE BANK CA,Pink Current,9.5,,0,Common Stock,USA,California,"30,001,416",Not Available,"Pacific Alliance Bank is a California state-chartered bank, headquartered in San Gabriel, CA. As such, it serves San Gabriel, its surrounding communities, and Southern California in general. The Bank was organized by a group of business entrepreneurs, professionals, and bankers resident in this market area and opened for business in December, 2006.

Pacific Alliance Bank is a full service commercial bank, focusing on client relationships with businesses, client communities, related business owners, owner's families, and key employees. It delivers distinctive deposit, loan, and service products, based on client needs. The Bank's senior professionals are actively involved with these relationships."
